employee_id,week,submitted,status
EMP001,Week-20,Yes,Completed
EMP002,Week-20,Yes,Completed
EMP003,Week-20,No,Pending
EMP004,Week-20,Yes,Completed
EMP005,Week-20,No,Pending
EMP006,Week-20,Yes,Completed
EMP007,Week-20,Yes,Completed
EMP008,Week-20,Yes,Completed
EMP009,Week-20,No,Pending
EMP010,Week-20,Yes,Completed
EMP011,Week-20,Yes,Completed
EMP012,Week-20,Yes,Completed
EMP013,Week-20,No,Pending
EMP014,Week-20,Yes,Completed
EMP015,Week-20,Yes,Completed
EMP016,Week-20,Yes,Completed
EMP017,Week-20,Yes,Completed
EMP018,Week-20,No,Pending
EMP019,Week-20,Yes,Completed
EMP020,Week-20,Yes,Completed
