employee_id,date,check_in,check_out,total_hours
EMP001,2026-05-19,09:02,18:10,9
EMP002,2026-05-19,09:15,18:20,9
EMP003,2026-05-19,09:40,18:00,8
EMP004,2026-05-19,09:05,18:30,9
EMP005,2026-05-19,10:05,18:00,7
EMP006,2026-05-19,09:10,18:40,9
EMP007,2026-05-19,09:50,18:00,8
EMP008,2026-05-19,09:20,18:15,9
EMP009,2026-05-19,09:05,18:00,9
EMP010,2026-05-19,09:01,18:20,9
EMP011,2026-05-19,09:30,18:10,8
EMP012,2026-05-19,09:12,18:22,9
EMP013,2026-05-19,09:44,18:00,8
EMP014,2026-05-19,09:06,18:25,9
EMP015,2026-05-19,10:13,18:18,9
EMP016,2026-05-19,09:32,18:05,8
EMP017,2026-05-19,09:15,18:20,9
EMP018,2026-05-19,09:55,18:00,7
EMP019,2026-05-19,09:04,18:10,9
EMP020,2026-05-19,09:11,18:19,9
MGR001,2026-05-19,08:50,18:45,10
MGR002,2026-05-19,08:55,18:30,10
MGR003,2026-05-19,09:00,18:40,10
MGR004,2026-05-19,08:58,18:35,10
HR001,2026-05-19,08:45,18:50,10
